seriesID,seriesCode,seriesName,seriesParent,seriesUnits,entityID,entityIso,entityName,dataValue,dataYear,dataNote,dataSource,seriesDescription,,Mobile,% mobile
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,7,ZAF,South Africa,1.43859,2019,,Independent Communications Authority of South Africa,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,7,ZAF,South Africa,3.34167,2020,Fixed(wired)- broadband internet traffic (exabytes) is growing fast as it shown on 2020 figure.,Independent Communications Authority of South Africa,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,7,ZAF,South Africa,5.30624,2021,,Independent Communications Authority of South Africa,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,7,ZAF,South Africa,5.81201,2022,,Independent Communications Authority of South Africa,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,2.60444,30.9%
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,8,AGO,Angola,1e-005,2011,,ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,8,AGO,Angola,2e-005,2012,,ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,8,AGO,Angola,5.2e-005,2013,,ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,8,AGO,Angola,0.00114239,2014,,Angolan Institute of Communications,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,8,AGO,Angola,0.03,2015,,Angolan Institute of Communications,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,8,AGO,Angola,0.0381258,2016,,Angolan Institute of Communications,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,8,AGO,Angola,0.044052,2017,,Angolan Institute of Communications,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,8,AGO,Angola,0.00322001,2018,,INACOM,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,8,AGO,Angola,0.0033,2019,,Angolan Institute of Communications,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,8,AGO,Angola,0.07,2020,provisional data,Angolan Institute of Communications,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,8,AGO,Angola,0.097585,2021,data still need to be revised,Angolan Institute of Communications,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,8,AGO,Angola,0.118685,2022,,Angolan Institute of Communications,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,0.173527,59.4%
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,10,ALB,Albania,0.0415482,2014,,Minister of State for the Innovation and Public Administration,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,10,ALB,Albania,0.065057,2015,,Ministry of Infrastructure and Energy,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,10,ALB,Albania,0.0854494,2016,,AKEP,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,10,ALB,Albania,0.136104,2017,,Ministry of Infrastructure and Energy,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,10,ALB,Albania,0.203375,2018,,Ministry of Infrastructure and Energy,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,10,ALB,Albania,0.452693,2019,,Ministry of Infrastructure and Energy,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,10,ALB,Albania,0.60937,2020,,Ministry of Infrastructure and Energy,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,10,ALB,Albania,0.952079,2021,,Ministry of Infrastructure and Energy,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,10,ALB,Albania,1.01537,2022,,Ministry of Infrastructure and Energy,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,0.18448,15.4%
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,11,DZA,Algeria,0.75,2015,,"Ministère de la Poste, des Télécommunications, des Technologies et du Numérique","Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,11,DZA,Algeria,1.45,2016,,"Ministère de la Poste, des Télécommunications, des Technologies et du Numérique","Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,11,DZA,Algeria,1.54,2017,,Ministère de la Poste et des Télécommunications,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,11,DZA,Algeria,2.743,2018,,Ministère de la Poste et des Télécommunications,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,11,DZA,Algeria,3.3475,2019,,Ministère de la Poste et des Télécommunications,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,11,DZA,Algeria,5.3047,2020,Total National +Total  international,Ministère de la Poste et des Télécommunications,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,11,DZA,Algeria,6.344,2021,Total National +Total  international,Ministère de la Poste et des Télécommunications,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,11,DZA,Algeria,9.1723,2022,Total National +Total  international,Ministère de la Poste et des Télécommunications,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,3.51116,27.7%
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,14,AND,Andorra,0.0195461,2016,,Andorra Telecom SAU,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,14,AND,Andorra,0.0273333,2017,,Andorra Telecom SAU,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,14,AND,Andorra,0.0394839,2018,,Andorra Telecom SAU,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,14,AND,Andorra,0.0581834,2019,,Andorra Telecom SAU,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,14,AND,Andorra,0.110866,2021,,Andorra Telecom SAU,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,14,AND,Andorra,0.12949,2022,,Andorra Telecom SAU,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,0.002138,1.6%
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,17,ARM,Armenia,0.04,2011,,Ministry of Transport and Communication of Armenia,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,17,ARM,Armenia,0.08,2012,,Ministry of Transport and Communication of Armenia,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,17,ARM,Armenia,0.12,2013,,Ministry of Transport and Communication of Armenia,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,17,ARM,Armenia,0.15,2014,,Ministry of Transport and Communication of Armenia,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,17,ARM,Armenia,0.28,2015,,Ministry of Transport and Communication of Armenia,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,17,ARM,Armenia,0.52,2016,,"Ministry of Transport, Communication and Information Technologies of Armenia","Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,17,ARM,Armenia,0.59,2017,,"Ministry of Transport, Communication and Information Technologies of Armenia","Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,17,ARM,Armenia,0.88,2018,,Ministry of High-Tech Industry of Armenia,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,17,ARM,Armenia,1.1,2019,,Ministry of High-Tech Industry of Armenia,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,17,ARM,Armenia,2.01,2020,,Ministry of High-Tech Industry of Armenia,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,17,ARM,Armenia,2.14,2021,,Ministry of High-Tech Industry of Armenia,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,17,ARM,Armenia,2.66,2022,,Ministry of High-Tech Industry of Armenia,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,0.26,8.9%
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,18,SAU,Saudi Arabia,0.44,2014,,Communication and Information Technology Commission,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,18,SAU,Saudi Arabia,1.98,2015,,Communication and Information Technology Commission,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,18,SAU,Saudi Arabia,1.39,2016,,Communications and Information Technology Commission (CITC),"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,18,SAU,Saudi Arabia,4.51,2017,,Communications and Information Technology Commission (CITC),"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,18,SAU,Saudi Arabia,5.76,2018,,CITC,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,18,SAU,Saudi Arabia,6.91,2019,,Communication and Information Technology Commission,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,18,SAU,Saudi Arabia,11.84,2020,,"Communications, Space & Technology Commission","Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,18,SAU,Saudi Arabia,14.1909,2021,,Communication and Information Technology Commission,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,18,SAU,Saudi Arabia,15.7,2022,,Communication and Information Technology Commission,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,19.3,55.1%
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,23,AUS,Australia,0.600839,2010,"Estimated for the calendar year. Source: Australian Bureau of Statistics (2017), 8153.0 Internet Activity, Australia, December 2016, Table 3",Department of Communications and the Arts,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,23,AUS,Australia,1.07489,2011,"Estimated for the calendar year. Source: Australian Bureau of Statistics (2017), 8153.0 Internet Activity, Australia, December 2016, Table 3",Department of Communications and the Arts,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,23,AUS,Australia,1.72235,2012,"Estimated for the calendar year. Source: Australian Bureau of Statistics (2017), 8153.0 Internet Activity, Australia, December 2016, Table 3",Department of Communications and the Arts,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,23,AUS,Australia,2.74951,2013,"Estimated for the calendar year. Source: Australian Bureau of Statistics (2017), 8153.0 Internet Activity, Australia, December 2016, Table 3",Department of Communications and the Arts,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,23,AUS,Australia,4.00171,2014,"Estimated for the calendar year. Source: Australian Bureau of Statistics (2017), 8153.0 Internet Activity, Australia, December 2016, Table 3",Department of Communications and the Arts,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,23,AUS,Australia,5.75,2015,"Estimated for the calendar year. Source: Australian Bureau of Statistics (2017), 8153.0 Internet Activity, Australia, December 2016, Table 3",Department of Communications and the Arts,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,23,AUS,Australia,8.71,2016,"Estimated for the calendar year. Source: Australian Bureau of Statistics (2018), 8153.0 Internet Activity, Australia, June 2018, Table 3, – Volume of data downloaded by access connection. http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/8153.0December%202017?OpenDocumentMethodology: The ABS reports data in the quarters to June and December each year. To provide figures for data downloaded in a calendar year, the quarters to March and October have been estimated. Each missing quarter is estimated as the geometric mean of the two",Department of Communications and the Arts,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,23,AUS,Australia,12.29,2017,"Estimated for the calendar year. Source: Australian Bureau of Statistics (2018), 8153.0 Internet Activity, Australia, June 2018, Table 3, – Volume of data downloaded by access connection. http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/8153.0December%202017?OpenDocumentMethodology: The ABS reports data in the quarters to June and December each year. To provide figures for data downloaded in a calendar year, the quarters to March and October have been estimated. Each missing quarter is estimated as the geometric mean of the two.","Department of Infrastructure, Transport, Regional Development and Communications","Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,23,AUS,Australia,16.04,2018,"Estimated for the calendar year. Does not include data uploaded.Source: Australian Bureau of Statistics (2018), 8153.0 Internet Activity, Australia, June 2018, Table 3, – Volume of data downloaded by access connection. http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/8153.0December%202017?OpenDocumentMethodology: The ABS reports data in the quarters to June and December each year. To provide figures for data downloaded in a financial year, the quarters to March and October have been estimated. Each missing quarter is estimated as the geometric mean of the two quarters either side.","Department of Infrastructure, Transport, Regional Development and Communications","Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,23,AUS,Australia,22.23,2019,"Estimated for the calendar year.Does not include data uploaded.Figures reported from June 2019 comprise a series break and are incomparable with previous data for any broadband measures Australia reports to the ITU due to changes in reporting.Source: ACCC Internet Activity Report, December 2019.Methodology: The ACCC reports data in the quarters to June and December each year. To provide figures for data downloaded in a financial year, the quarters to March and October have been estimated. Each missing quarter is estimated as the geometric mean of the two quarters either side.","Department of Infrastructure, Transport, Regional Development and Communications","Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,23,AUS,Australia,30.81,2020,"Estimated for the calendar year.Does not include data uploaded.Source: ACCC Internet Activity Report, December 2020.Methodology: The ACCC reports data in the quarters to June and December each year. To provide figures for data downloaded in a financial year, the quarters to March and October have been estimated. Each missing quarter is estimated as the geometric mean of the two quarters either side.","Department of Infrastructure, Transport, Regional Development, Communications and the Arts","Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,23,AUS,Australia,36.14,2021,"Revised.Estimated for the calendar year Does not include data uploaded. Source: ACCC Internet Activity Record Keeping Rule (RKR), June 2021. Methodology: The ACCC reports data in the quarters to June and December each year. To provide figures for data downloaded in a financial year, the quarters to March and October have been estimated. Each missing quarter is estimated as the geometric mean of the two quarters either side.","Department of Infrastructure, Transport, Regional Development and Communications","Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,23,AUS,Australia,41.47,2022,"Estimated for the calendar year Does not include data uploaded. Source: ACCC Internet Activity Record Keeping Rule (RKR), Dec 2022. Methodology: The ACCC reports data in the quarters to June and December each year. To provide figures for data downloaded in a financial year, the quarters to March and October have been estimated. Each missing quarter is estimated as the geometric mean of the two quarters either side.","Department of Infrastructure, Transport, Regional Development and Communications","Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,5.35,11.4%
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,24,AUT,Austria,3.94674,2019,,Austrian Regulatory Authority for Broadcasting and Telecommunications,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,24,AUT,Austria,4.79024,2020,,Austrian Regulatory Authority for Broadcasting and Telecommunications,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,24,AUT,Austria,5.63406,2021,,Austrian Regulatory Authority for Broadcasting and Telecommunications,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,24,AUT,Austria,6.03231,2022,,Austrian Regulatory Authority for Broadcasting and Telecommunications,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,3.83806,38.9%
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,25,AZE,Azerbaijan,0.28,2012,,Ministry of Communications and Information Technologies (MC&IT),"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,25,AZE,Azerbaijan,0.35,2013,,Ministry of Communications and High Technologies (MC&HT),"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,25,AZE,Azerbaijan,0.42,2014,,Ministry of Communications and High Technologies (MC&HT),"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,25,AZE,Azerbaijan,0.38,2015,,Ministry of Communications and High Technologies (MC&HT),"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,25,AZE,Azerbaijan,0.397158,2016,,"Ministry of Transport, Communications and High Technologies","Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,25,AZE,Azerbaijan,0.6,2017,,"Ministry of Transport, Communications and High Technologies","Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,25,AZE,Azerbaijan,0.54,2018,,"Ministry of Transport, Communications and High Technologies","Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,25,AZE,Azerbaijan,0.58,2019,,Ministry of Digital Development and Transport,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,25,AZE,Azerbaijan,0.6,2020,,Ministry of Digital Development and Transport,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,25,AZE,Azerbaijan,0.65,2021,,Ministry of Digital Development and Transport,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,25,AZE,Azerbaijan,0.66,2022,,Ministry of Digital Development and Transport,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,0.28,29.8%
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,27,BRA,Brazil,27.722,2017,,National Telecommunication Agency - Anatel,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,27,BRA,Brazil,32.933,2018,,Anatel,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,27,BRA,Brazil,39.841,2019,,Agência Nacional de Telecomunicaçőes,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,27,BRA,Brazil,51.625,2020,Data until September 2020.,Agência Nacional de Telecomunicaçoes,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,27,BRA,Brazil,64.6,2021,Consolidated data for the entire year 2021.,Agência Nacional de Telecomunicaçőes,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,27,BRA,Brazil,75.79,2022,Data until September 2022.,Agência Nacional de Telecomunicaçőes,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,9.65,11.3%
13067,i135tfb,Fixed-broadband Internet traffic,,exabytes,28,BHS,Bahamas,0.118109,2015,,Utilities Regulation and Competition Authority,"Refers to traffic generated by fixed broadband subscribers measured at the end-user access point, measured adding up download and upload traffic",,,
